Website,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Duration,Bits/s A → B,Bits/s B → A
wikipedia.csv,1,718,1,718,0,0,52.63008199999968,109,0
wikipedia.csv,1,718,1,718,0,0,28.689323999999942,200,0
wikipedia.csv,1,718,1,718,0,0,197.64475100000163,29,0
wikipedia.csv,1,718,1,718,0,0,25.06310499999927,229,0
wikipedia.csv,1,718,1,718,0,0,32.502158999999665,176,0
wikipedia.csv,1,718,1,718,0,0,50.13154799999938,114,0
wikipedia.csv,1,718,1,718,0,0,30.56341700000121,187,0
wikipedia.csv,1,722,1,722,0,0,37.3813769999997,154,0
wikipedia.csv,1,718,1,718,0,0,0.0880350000006728,65246,0
wikipedia.csv,1,718,1,718,0,0,0.0784110000004147,73255,0
wikipedia.csv,1,718,1,718,0,0,27.55485200000112,208,0
wikipedia.csv,1,718,1,718,0,0,39.72407000000021,144,0
wikipedia.csv,1,718,1,718,0,0,30.37538300000051,189,0
wikipedia.csv,1,718,1,718,0,0,29.832399999999325,192,0
wikipedia.csv,1,718,1,718,0,0,30.51133200000004,188,0
wikipedia.csv,1,722,1,722,0,0,38.97799699999996,148,0
wikipedia.csv,1,718,1,718,0,0,0.0773890000000392,74222,0
wikipedia.csv,1,718,1,718,0,0,0.0762389999999868,75342,0
wikipedia.csv,1,722,1,722,0,0,21.74469400000089,265,0
wikipedia.csv,1,718,1,718,0,0,0.0721059999996214,79660,0
wikipedia.csv,1,718,1,718,0,0,0.0727429999988089,78962,0
wikipedia.csv,1,722,1,722,0,0,42.12332799999968,137,0
wikipedia.csv,1,718,1,718,0,0,0.0780660000000352,73578,0
wikipedia.csv,1,718,1,718,0,0,0.0635990000009769,90315,0
wikipedia.csv,1,719,1,719,0,0,0.0657159999991563,87528,0
wikipedia.csv,1,718,1,718,0,0,13.432066999999734,427,0
wikipedia.csv,1,718,1,718,0,0,55.62904999999955,103,0
wikipedia.csv,1,722,1,722,0,0,18.30077800000072,315,0
wikipedia.csv,1,718,1,718,0,0,0.0814270000009855,70541,0
wikipedia.csv,1,718,1,718,0,0,0.0755489999992278,76030,0
wikipedia.csv,1,722,1,722,0,0,23.370985999999903,247,0
wikipedia.csv,1,718,1,718,0,0,0.076350999999704,75231,0
wikipedia.csv,1,718,1,718,0,0,0.0762490000015532,75332,0
wikipedia.csv,1,722,1,722,0,0,39.55637500000012,146,0
