Website,Time,Length,Protocol,Info
4,38.81108,1466,0,15
4,38.81108,1466,0,15
4,38.81108,1466,0,15
4,38.81108,1414,0,11
4,38.81108,1466,0,15
4,38.81108,1466,0,15
4,38.81108,1466,0,15
4,38.81108,1466,0,15
4,38.81108,1466,0,15
4,38.81108,1466,0,15
4,38.81108,1466,0,15
4,38.81108,1466,0,15
4,38.81108,1466,0,15
4,38.81108,1466,0,15
4,38.81108,1466,0,15
4,38.81108,918,0,10
4,38.816214,54,1,6
4,38.816303,54,1,6
4,38.816334,54,1,6
4,38.816358,54,1,6
4,38.81638,54,1,6
4,38.816402,54,1,6
4,38.816424,54,1,6
4,38.816447,54,1,6
4,38.816469,54,1,6
4,38.816492,54,1,6
4,38.816526,54,1,6
4,38.816566,54,1,6
4,38.816605,93,0,15
4,38.831193,92,1,6
4,39.009855,1466,1,6
4,39.009886,1192,0,15
4,39.009915,1466,1,6
4,39.009938,1466,1,6
4,39.009961,876,0,15
4,39.024149,92,1,6
4,39.024149,92,1,6
4,39.024523,92,1,6
4,39.092735,586,0,15
4,39.092735,1466,0,15
4,39.092996,1466,0,15
4,39.093518,1466,0,15
4,39.093518,1466,0,15
4,39.093518,1466,0,15
4,39.093518,1466,0,15
4,39.093518,1466,0,15
4,39.093518,1466,0,15
4,39.093518,1466,0,15
4,39.093518,1466,0,15
4,39.093518,1154,0,15
4,39.093518,1466,0,15
4,39.093995,1466,0,15
4,39.093995,1466,0,15
4,39.093995,1466,0,15
4,39.093995,1466,0,15
4,39.093995,1466,0,15
4,39.093995,1466,0,15
4,39.093995,1466,0,15
4,39.094117,1466,0,15
4,39.094117,1466,0,15
4,39.094117,1466,0,15
4,39.094117,1466,0,15
4,39.094117,1466,0,15
4,39.094117,192,0,11
4,39.094404,93,0,15
4,39.099297,54,1,6
4,39.099372,54,1,6
4,39.099402,54,1,6
4,39.099426,54,1,6
4,39.09945,54,1,6
4,39.099474,54,1,6
4,39.099497,54,1,6
4,39.09952,54,1,6
4,39.099542,54,1,6
4,39.099557,54,1,6
4,39.099568,54,1,6
4,39.099583,54,1,6
4,39.099605,54,1,6
4,39.099634,93,0,15
4,39.11288,92,1,6
4,39.605251,1466,1,6
4,39.60531,1466,1,6
4,39.605329,985,0,15
4,39.617632,92,1,6
