Website,Packets,Bytes,Total Packets,Percent Filtered,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Duration,Bits/s A → B,Bits/s B → A
wikipedia.csv,1,719,1087,0.09,1,719,0,0,24.43098900000041,235,0
wikipedia.csv,1,718,21,4.76,1,718,0,0,0.0584090000002106,98341,0
wikipedia.csv,1,718,2119,0.05,1,718,0,0,66.03702000000021,86,0
wikipedia.csv,1,719,866,0.12,1,719,0,0,26.902393000000306,213,0
wikipedia.csv,1,718,10,10.0,1,718,0,0,0.0310180000001309,185182,0
wikipedia.csv,1,718,645,0.16,1,718,0,0,37.44693099999995,153,0
wikipedia.csv,1,718,427,0.23,1,718,0,0,10.755689000000077,534,0
wikipedia.csv,1,718,1525,0.07,1,718,0,0,36.70402400000012,156,0
wikipedia.csv,1,718,1693,0.06,1,718,0,0,57.82324300000028,99,0
wikipedia.csv,1,718,1349,0.07,1,718,0,0,37.69065799999999,152,0
wikipedia.csv,1,718,1582,0.06,1,718,0,0,44.00151899999992,130,0
wikipedia.csv,1,718,1760,0.06,1,718,0,0,63.333916000000045,90,0
wikipedia.csv,1,718,1638,0.06,1,718,0,0,52.63008199999968,109,0
wikipedia.csv,1,718,1478,0.07,1,718,0,0,28.689323999999942,200,0
wikipedia.csv,1,718,877,0.11,1,718,0,0,197.64475100000163,29,0
wikipedia.csv,1,718,2512,0.04,1,718,0,0,25.06310499999927,229,0
wikipedia.csv,1,718,1823,0.05,1,718,0,0,32.502158999999665,176,0
wikipedia.csv,1,718,1989,0.05,1,718,0,0,50.13154799999938,114,0
wikipedia.csv,1,718,893,0.11,1,718,0,0,30.56341700000121,187,0
wikipedia.csv,1,722,1503,0.07,1,722,0,0,37.3813769999997,154,0
wikipedia.csv,1,718,21,4.76,1,718,0,0,0.0880350000006728,65246,0
wikipedia.csv,1,718,21,4.76,1,718,0,0,0.0784110000004147,73255,0
wikipedia.csv,1,718,5041,0.02,1,718,0,0,27.55485200000112,208,0
wikipedia.csv,1,718,788,0.13,1,718,0,0,39.72407000000021,144,0
wikipedia.csv,1,718,1355,0.07,1,718,0,0,30.37538300000051,189,0
wikipedia.csv,1,718,1404,0.07,1,718,0,0,29.832399999999325,192,0
wikipedia.csv,1,718,1682,0.06,1,718,0,0,30.51133200000004,188,0
wikipedia.csv,1,722,2575,0.04,1,722,0,0,38.97799699999996,148,0
wikipedia.csv,1,718,20,5.0,1,718,0,0,0.0773890000000392,74222,0
wikipedia.csv,1,718,22,4.55,1,718,0,0,0.0762389999999868,75342,0
wikipedia.csv,1,722,800,0.13,1,722,0,0,21.74469400000089,265,0
wikipedia.csv,1,718,21,4.76,1,718,0,0,0.0721059999996214,79660,0
